pixel,reflectance1,reflectance2,absorption1,absorption2,,,,,,,,,
1,4.78E-05,4.58E-07,,,,,,,,,,,
2,4.60E-05,4.40E-07,,,,,,,,,,,
3,4.43E-05,4.02E-07,,,,,,,,,,,
4,4.26E-05,4.49E-07,,,,,,,,,,,
5,4.06E-05,5.28E-07,,,,,,,,,,,
6,3.88E-05,4.91E-07,,,,,,,,,,,
7,3.71E-05,5.34E-07,,,,,,,,,,,
8,3.54E-05,5.33E-07,,,,,,,,,,,
9,3.37E-05,5.93E-07,,,,,,,,,,,
10,3.23E-05,6.02E-07,,,,,,,,,,,
11,3.08E-05,5.69E-07,,,,,,,,,,,
12,2.94E-05,6.27E-07,,,,,,,,,,,
13,2.80E-05,6.10E-07,,,,,,,,,,,
14,2.67E-05,6.57E-07,,,,,,,,,,,
15,2.57E-05,6.38E-07,,,,,,,,,,,
16,2.44E-05,6.84E-07,,,,,,,,,,,
17,2.34E-05,7.17E-07,,,,,,,,,,,
18,2.23E-05,7.01E-07,,,,,,,,,,,
19,2.14E-05,7.77E-07,,,,,,,,,,,
20,2.04E-05,8.06E-07,,,,,,,,,,,
21,1.96E-05,7.93E-07,,,,,,,,,,,
22,1.88E-05,7.80E-07,,,,,,,,,,,
23,1.79E-05,8.73E-07,,,,,,,,,,,
24,1.71E-05,8.82E-07,,,,,,,,,,,
25,1.64E-05,9.63E-07,,,,,,,,,,,
26,1.56E-05,9.32E-07,,,,,,,,,,,
27,1.50E-05,9.93E-07,,,,,,,,,,,
28,1.43E-05,9.79E-07,,,,,,,,,,,
29,1.38E-05,1.04E-06,,,,,,,,,,,
30,1.33E-05,1.07E-06,,,,,,,,,,,
31,1.26E-05,1.08E-06,,,,,,,,,,,
32,1.21E-05,1.15E-06,,,,,,,,,,,
33,1.16E-05,1.11E-06,,,,,,,,,,,
34,1.11E-05,1.21E-06,,,,,,,,,,,
35,1.07E-05,1.26E-06,,,,,,,,,,,
36,1.01E-05,1.31E-06,,,,,,,,,,,
37,9.80E-06,1.32E-06,,,,,,,,,,,
38,9.47E-06,1.37E-06,,,,,,,,,,,
39,9.22E-06,1.44E-06,,,,,,,,,,,
40,8.60E-06,1.47E-06,,,,,,,,,,,
41,8.24E-06,1.52E-06,,,,,,,,,,,
42,7.85E-06,1.55E-06,,,,,,,,,,,
43,7.55E-06,1.57E-06,,,,,,,,,,,
44,7.23E-06,1.71E-06,,,,,,,,,,,
45,6.89E-06,1.67E-06,,,,,,,,,,,
46,6.64E-06,1.82E-06,,,,,,,,,,,
47,6.36E-06,1.81E-06,,,,,,,,,,,
48,6.08E-06,1.92E-06,,,,,,,,,,,
49,5.85E-06,2.01E-06,,,,,,,,,,,
50,5.57E-06,2.05E-06,,,,,,,,,,,
51,5.34E-06,2.15E-06,,,,,,,,,,,
52,5.15E-06,2.20E-06,,,,,,,,,,,
53,4.98E-06,2.28E-06,,,,,,,,,,,
54,4.75E-06,2.38E-06,,,,,,,,,,,
55,4.55E-06,2.44E-06,,,,,,,,,,,
56,4.40E-06,2.58E-06,,,,,,,,,,,
57,4.22E-06,2.65E-06,,,,,,,,,,,
58,4.03E-06,2.75E-06,,,,,,,,,,,
59,3.86E-06,2.90E-06,,,,,,,,,,,
60,3.70E-06,2.94E-06,,,,,,,,,,,
61,3.57E-06,3.08E-06,,,,,,,,,,,
62,3.44E-06,3.24E-06,,,,,,,,,,,
63,3.31E-06,3.41E-06,,,,,,,,,,,
64,3.16E-06,3.46E-06,,,,,,,,,,,
65,3.04E-06,3.63E-06,,,,,,,,,,,
66,2.87E-06,3.65E-06,,,,,,,,,,,
67,2.79E-06,3.87E-06,,,,,,,,,,,
68,2.71E-06,4.09E-06,,,,,,,,,,,
69,2.54E-06,4.23E-06,,,,,,,,,,,
70,2.46E-06,4.37E-06,,,,,,,,,,,
71,2.34E-06,4.52E-06,,,,,,,,,,,
72,2.20E-06,4.71E-06,,,,,,,,,,,
73,2.20E-06,4.89E-06,,,,,,,,,,,
74,2.08E-06,5.14E-06,,,,,,,,,,,
75,1.99E-06,5.34E-06,,,,,,,,,,,
76,1.90E-06,5.49E-06,,,,,,,,,,,
77,1.88E-06,5.83E-06,,,,,,,,,,,
78,1.76E-06,5.93E-06,,,,,,,,,,,
79,1.69E-06,6.19E-06,,,,,,,,,,,
80,1.66E-06,6.49E-06,,,,,,,,,,,
81,1.56E-06,6.72E-06,,,,,,,,,,,
82,1.53E-06,7.05E-06,,,,,,,,,,,
83,1.47E-06,7.31E-06,,,,,,,,,,,
84,1.47E-06,7.66E-06,,,,,,,,,,,
85,1.40E-06,7.94E-06,,,,,,,,,,,
