pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.36E-05,1.84E-07,,
2,4.18E-05,2.18E-07,,
3,4.01E-05,2.10E-07,,
4,3.84E-05,1.79E-07,,
5,3.68E-05,2.17E-07,,
6,3.50E-05,2.13E-07,,
7,3.35E-05,2.62E-07,,
8,3.20E-05,2.70E-07,,
9,3.05E-05,2.78E-07,,
10,2.91E-05,2.62E-07,,
11,2.78E-05,2.78E-07,,
12,2.65E-05,3.28E-07,,
13,2.53E-05,2.93E-07,,
14,2.42E-05,3.30E-07,,
15,2.33E-05,3.47E-07,,
16,2.22E-05,3.53E-07,,
17,2.12E-05,3.50E-07,,
18,2.03E-05,3.89E-07,,
19,1.94E-05,3.79E-07,,
20,1.86E-05,3.86E-07,,
21,1.79E-05,4.32E-07,,
22,1.71E-05,4.19E-07,,
23,1.63E-05,4.79E-07,,
24,1.57E-05,4.38E-07,,
25,1.49E-05,4.76E-07,,
26,1.44E-05,4.59E-07,,
27,1.38E-05,5.14E-07,,
28,1.31E-05,4.99E-07,,
29,1.28E-05,5.65E-07,,
30,1.21E-05,5.36E-07,,
31,1.17E-05,5.83E-07,,
32,1.12E-05,6.01E-07,,
33,1.07E-05,6.35E-07,,
34,1.03E-05,6.43E-07,,
35,9.99E-06,6.45E-07,,
36,9.58E-06,6.47E-07,,
37,9.14E-06,6.88E-07,,
38,8.87E-06,7.47E-07,,
39,8.75E-06,7.65E-07,,
40,8.22E-06,7.51E-07,,
41,7.82E-06,7.60E-07,,
42,7.51E-06,7.81E-07,,
43,7.29E-06,8.70E-07,,
44,7.00E-06,8.71E-07,,
45,6.82E-06,8.81E-07,,
46,6.55E-06,9.78E-07,,
47,6.37E-06,9.91E-07,,
48,6.06E-06,1.02E-06,,
49,5.92E-06,1.07E-06,,
50,5.66E-06,1.10E-06,,
51,5.52E-06,1.18E-06,,
52,5.31E-06,1.12E-06,,
53,5.11E-06,1.20E-06,,
54,4.91E-06,1.24E-06,,
55,4.73E-06,1.26E-06,,
56,4.61E-06,1.33E-06,,
57,4.43E-06,1.34E-06,,
58,4.33E-06,1.44E-06,,
59,4.11E-06,1.49E-06,,
60,3.99E-06,1.49E-06,,
61,3.87E-06,1.58E-06,,
62,3.75E-06,1.66E-06,,
63,3.68E-06,1.66E-06,,
64,3.55E-06,1.74E-06,,
65,3.40E-06,1.81E-06,,
66,3.29E-06,1.85E-06,,
67,3.18E-06,1.87E-06,,
68,3.08E-06,1.94E-06,,
69,2.97E-06,2.02E-06,,
70,2.89E-06,2.08E-06,,
71,2.75E-06,2.13E-06,,
72,2.69E-06,2.22E-06,,
73,2.65E-06,2.34E-06,,
74,2.53E-06,2.45E-06,,
75,2.41E-06,2.48E-06,,
76,2.31E-06,2.54E-06,,
77,2.29E-06,2.68E-06,,
78,2.16E-06,2.72E-06,,
79,2.14E-06,2.90E-06,,
80,2.10E-06,2.99E-06,,
81,1.97E-06,3.02E-06,,
82,2.00E-06,3.25E-06,,
83,1.83E-06,3.29E-06,,
84,1.81E-06,3.44E-06,,
85,1.81E-06,3.59E-06,,
86,1.73E-06,3.65E-06,,
87,1.64E-06,3.77E-06,,
88,1.65E-06,4.01E-06,,
89,1.59E-06,4.13E-06,,
90,1.52E-06,4.29E-06,,
91,1.45E-06,4.40E-06,,
92,1.47E-06,4.65E-06,,
93,1.36E-06,4.75E-06,,
94,1.39E-06,4.99E-06,,
95,1.28E-06,5.11E-06,,
96,1.27E-06,5.38E-06,,
97,1.22E-06,5.53E-06,,
98,1.21E-06,5.84E-06,,
99,1.14E-06,6.01E-06,,
100,1.10E-06,6.17E-06,,
101,1.09E-06,6.42E-06,,
102,1.05E-06,6.71E-06,,
103,1.05E-06,6.96E-06,,
104,9.80E-07,7.19E-06,,
105,9.64E-07,7.54E-06,,
106,9.09E-07,7.89E-06,,
107,8.87E-07,8.12E-06,,
108,8.74E-07,8.50E-06,,
109,8.40E-07,8.87E-06,,
110,8.10E-07,9.24E-06,,
111,7.77E-07,9.69E-06,,
112,7.39E-07,1.01E-05,,
113,7.17E-07,1.05E-05,,
114,7.01E-07,1.10E-05,,
115,6.63E-07,1.14E-05,,
116,6.48E-07,1.20E-05,,
117,6.15E-07,1.26E-05,,
118,6.28E-07,1.32E-05,,
119,5.69E-07,1.37E-05,,
120,5.80E-07,1.45E-05,,
121,5.09E-07,1.51E-05,,
122,5.08E-07,1.58E-05,,
123,5.39E-07,1.67E-05,,
124,5.24E-07,1.74E-05,,
125,4.79E-07,1.83E-05,,
126,4.69E-07,1.91E-05,,
127,4.70E-07,2.00E-05,,
128,4.15E-07,2.09E-05,,
