pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.40E-05,1.14E-06,,
2,6.18E-05,1.07E-06,,
3,5.98E-05,1.18E-06,,
4,5.80E-05,1.26E-06,,
5,5.55E-05,1.30E-06,,
6,5.36E-05,1.34E-06,,
7,5.16E-05,1.32E-06,,
8,4.96E-05,1.38E-06,,
9,4.78E-05,1.47E-06,,
10,4.59E-05,1.54E-06,,
11,4.44E-05,1.50E-06,,
12,4.26E-05,1.52E-06,,
13,4.09E-05,1.60E-06,,
14,3.94E-05,1.61E-06,,
15,3.81E-05,1.73E-06,,
16,3.66E-05,1.74E-06,,
17,3.53E-05,1.75E-06,,
18,3.41E-05,1.78E-06,,
19,3.29E-05,1.78E-06,,
20,3.17E-05,1.99E-06,,
21,3.07E-05,2.02E-06,,
22,2.94E-05,2.03E-06,,
23,2.84E-05,2.15E-06,,
24,2.73E-05,2.08E-06,,
25,2.64E-05,2.20E-06,,
26,2.55E-05,2.29E-06,,
27,2.46E-05,2.36E-06,,
28,2.37E-05,2.41E-06,,
29,2.31E-05,2.58E-06,,
30,2.23E-05,2.59E-06,,
31,2.14E-05,2.72E-06,,
32,2.07E-05,2.69E-06,,
33,1.99E-05,2.83E-06,,
34,1.93E-05,2.91E-06,,
35,1.88E-05,3.01E-06,,
36,1.80E-05,3.09E-06,,
37,1.76E-05,3.16E-06,,
38,1.70E-05,3.21E-06,,
39,1.67E-05,3.40E-06,,
40,1.58E-05,3.41E-06,,
41,1.53E-05,3.45E-06,,
42,1.48E-05,3.60E-06,,
43,1.43E-05,3.64E-06,,
44,1.39E-05,3.86E-06,,
45,1.33E-05,3.85E-06,,
46,1.30E-05,4.01E-06,,
47,1.25E-05,4.14E-06,,
48,1.21E-05,4.20E-06,,
49,1.17E-05,4.40E-06,,
50,1.13E-05,4.33E-06,,
51,1.10E-05,4.61E-06,,
52,1.07E-05,4.68E-06,,
53,1.03E-05,4.75E-06,,
54,9.99E-06,4.94E-06,,
55,9.62E-06,5.05E-06,,
56,9.40E-06,5.25E-06,,
57,9.04E-06,5.34E-06,,
58,8.81E-06,5.52E-06,,
59,8.57E-06,5.70E-06,,
60,8.34E-06,5.80E-06,,
61,7.99E-06,5.97E-06,,
62,7.85E-06,6.14E-06,,
63,7.62E-06,6.40E-06,,
64,7.31E-06,6.54E-06,,
65,7.11E-06,6.71E-06,,
66,6.87E-06,6.98E-06,,
67,6.64E-06,7.01E-06,,
68,6.43E-06,7.24E-06,,
69,6.22E-06,7.49E-06,,
70,6.07E-06,7.68E-06,,
71,5.92E-06,7.83E-06,,
72,5.71E-06,8.18E-06,,
73,5.51E-06,8.38E-06,,
74,5.33E-06,8.58E-06,,
75,5.25E-06,8.84E-06,,
76,5.04E-06,9.17E-06,,
77,4.94E-06,9.38E-06,,
78,4.73E-06,9.72E-06,,
79,4.59E-06,9.90E-06,,
80,4.38E-06,1.02E-05,,
81,4.31E-06,1.05E-05,,
82,4.19E-06,1.09E-05,,
83,4.07E-06,1.12E-05,,
84,3.94E-06,1.16E-05,,
85,3.91E-06,1.20E-05,,
86,3.79E-06,1.24E-05,,
87,3.64E-06,1.26E-05,,
88,3.52E-06,1.31E-05,,
89,3.45E-06,1.35E-05,,
90,3.34E-06,1.40E-05,,
91,3.26E-06,1.44E-05,,
92,3.12E-06,1.47E-05,,
93,3.04E-06,1.53E-05,,
94,2.94E-06,1.56E-05,,
95,2.92E-06,1.62E-05,,
96,2.76E-06,1.66E-05,,
97,2.75E-06,1.73E-05,,
98,2.67E-06,1.80E-05,,
99,2.61E-06,1.86E-05,,
100,2.56E-06,1.89E-05,,
101,2.41E-06,1.95E-05,,
102,2.37E-06,2.00E-05,,
103,2.27E-06,2.07E-05,,
104,2.25E-06,2.14E-05,,
105,2.18E-06,2.20E-05,,
106,2.14E-06,2.27E-05,,
107,2.04E-06,2.37E-05,,
108,2.01E-06,2.44E-05,,
109,1.92E-06,2.52E-05,,
110,1.84E-06,2.60E-05,,
111,1.80E-06,2.71E-05,,
112,1.75E-06,2.79E-05,,
113,1.72E-06,2.89E-05,,
114,1.70E-06,2.99E-05,,
115,1.61E-06,3.09E-05,,
116,1.60E-06,3.22E-05,,
117,1.51E-06,3.34E-05,,
118,1.49E-06,3.48E-05,,
119,1.42E-06,3.61E-05,,
120,1.36E-06,3.76E-05,,
121,1.33E-06,3.90E-05,,
122,1.37E-06,4.09E-05,,
123,1.30E-06,4.25E-05,,
124,1.24E-06,4.44E-05,,
125,1.25E-06,4.61E-05,,
126,1.18E-06,4.81E-05,,
127,1.17E-06,5.03E-05,,
128,1.14E-06,5.24E-05,,
