,,,,,,,A850i,B850i,A850ii  ,B850ii  ,refletance1(850)=i850-ambient/(8741*(A850i*255+B850i));,,,,,,,
Experiment data,9/10/2019,9:58:52,,,,,956,-142000,864,-146000,,,,,,,,
,,,,,,,,,,,,,,,,,,
Collected Light Intensity,,,,,,,,,,,,,,,,,,
Intensity:,239,217,192,252,255,225,194,255,,,,,,,,,,
Integration time: ,6456,,,,,,,,,,,,,,K8/($B$6*($H$2*$E$5+$I$2)),L8/($B$6*($J$2*$I$5+$K$2)),,
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,,,i850-Ambient,ii850-Ambient,pixel,reflectance1,reflectance2,absorption1,absorption2
 ,60677,60911,61714,61052,1867,2841,2882,2054,878,61666,12914,60174,1176,1,9.42316E-05,2.45097E-06,,
 ,58594,58954,59437,58972,1913,2883,2941,2086,853,59654,,58119,1233,2,9.10135E-05,2.56977E-06,,
 ,56751,57268,57387,57139,1936,2948,2992,2117,862,57825,,56277,1255,3,8.81289E-05,2.61562E-06,,
 ,55004,55649,55609,55519,1966,3002,3043,2125,855,56115,,54664,1270,4,8.5603E-05,2.64688E-06,,
 ,52865,53703,53747,53580,1952,3037,3122,2149,838,53979,,52742,1311,5,8.25932E-05,2.73233E-06,,
 ,51209,51903,51967,51636,1960,3099,3113,2202,831,52338,,50805,1371,6,7.95598E-05,2.85738E-06,,
 ,49593,50164,50132,49990,2003,3163,3161,2249,852,50744,,49138,1397,7,7.69494E-05,2.91157E-06,,
 ,47950,48535,48483,48190,2050,3188,3207,2253,888,49112,,47302,1365,8,7.40742E-05,2.84488E-06,,
 ,46207,46689,46825,46396,2068,3209,3311,2308,859,47416,,45537,1449,9,7.13102E-05,3.01995E-06,,
 ,44575,45188,45165,44829,2109,3279,3322,2301,827,45857,,44002,1474,10,6.89065E-05,3.07205E-06,,
 ,42890,43749,43550,43364,2129,3330,3346,2342,824,44195,,42540,1518,11,6.6617E-05,3.16375E-06,,
 ,41560,42160,42189,41669,2160,3387,3415,2378,836,42884,,40833,1542,12,6.39439E-05,3.21377E-06,,
 ,40043,40677,40807,40114,2159,3451,3496,2414,816,41386,,39298,1598,13,6.15401E-05,3.33049E-06,,
 ,38767,39334,39308,38717,2264,3493,3528,2469,840,40191,,37877,1629,14,5.93148E-05,3.39509E-06,,
 ,37468,37978,37956,37439,2222,3605,3586,2515,821,38869,,36618,1694,15,5.73432E-05,3.53056E-06,,
 ,36176,36827,36624,36082,2274,3662,3667,2536,861,37589,,35221,1675,16,5.51555E-05,3.49097E-06,,
 ,34877,35484,35386,34810,2306,3671,3760,2560,813,36370,,33997,1747,17,5.32388E-05,3.64103E-06,,
 ,33812,34537,34282,33676,2356,3702,3821,2628,795,35373,,32881,1833,18,5.14911E-05,3.82026E-06,,
 ,32646,33358,33087,32557,2384,3880,3858,2688,823,34207,,31734,1865,19,4.9695E-05,3.88696E-06,,
 ,31602,32233,32000,31345,2403,3907,3924,2692,871,33134,,30474,1821,20,4.77218E-05,3.79525E-06,,
 ,30552,31210,30900,30463,2444,3968,4007,2743,821,32175,,29642,1922,21,4.64189E-05,4.00575E-06,,
 ,29610,30065,29825,29216,2534,4024,4036,2811,810,31334,,28406,2001,22,4.44834E-05,4.1704E-06,,
 ,28668,29211,28829,28321,2497,4122,4114,2859,844,30321,,27477,2015,23,4.30286E-05,4.19958E-06,,
 ,27787,28308,27959,27341,2546,4187,4210,2902,829,29504,,26512,2073,24,4.15174E-05,4.32046E-06,,
 ,26859,27219,27014,26363,2590,4275,4290,2966,831,28618,,25532,2135,25,3.99827E-05,4.44968E-06,,
 ,25990,26539,26208,25468,2631,4388,4332,2977,815,27806,,24653,2162,26,3.86062E-05,4.50595E-06,,
 ,25161,25629,25271,24726,2645,4413,4405,3057,814,26992,,23912,2243,27,3.74458E-05,4.67477E-06,,
 ,24348,24823,24464,23747,2705,4492,4517,3107,841,26212,,22906,2266,28,3.58704E-05,4.7227E-06,,
 ,23694,24215,23725,23119,2735,4611,4581,3162,830,25599,,22289,2332,29,3.49042E-05,4.86026E-06,,
 ,23002,23414,22950,22427,2794,4715,4618,3239,802,24994,,21625,2437,30,3.38644E-05,5.07909E-06,,
 ,22200,22638,22185,21604,2813,4808,4756,3299,795,24218,,20809,2504,31,3.25866E-05,5.21873E-06,,
 ,21491,21907,21589,20981,2845,4890,4850,3339,835,23501,,20146,2504,32,3.15483E-05,5.21873E-06,,
 ,20834,21195,20968,20217,2938,4910,4951,3369,819,22953,,19398,2550,33,3.0377E-05,5.3146E-06,,
 ,20264,20586,20299,19456,3004,5020,5000,3477,809,22459,,18647,2668,34,2.92009E-05,5.56054E-06,,
 ,19785,20135,19550,19121,3001,5197,5143,3542,827,21959,,18294,2715,35,2.86481E-05,5.65849E-06,,
 ,19073,19364,19069,18263,3093,5286,5232,3601,833,21333,,17430,2768,36,2.72951E-05,5.76895E-06,,
 ,18626,18923,18609,17857,3148,5395,5327,3693,789,20985,,17068,2904,37,2.67282E-05,6.0524E-06,,
 ,17983,18380,17984,17356,3166,5490,5429,3763,838,20311,,16518,2925,38,2.58669E-05,6.09616E-06,,
 ,17865,18051,17497,17141,3302,5689,5594,3894,824,20343,,16317,3070,39,2.55522E-05,6.39837E-06,,
 ,16981,17253,16947,16225,3286,5697,5708,3890,816,19451,,15409,3074,40,2.41303E-05,6.4067E-06,,
 ,16460,16708,16480,15754,3348,5834,5838,3912,798,19010,,14956,3114,41,2.34209E-05,6.49007E-06,,
 ,15976,16215,16027,15168,3407,5940,5902,4014,809,18574,,14359,3205,42,2.2486E-05,6.67973E-06,,
 ,15568,15780,15493,14781,3499,6074,6032,4107,815,18252,,13966,3292,43,2.18705E-05,6.86105E-06,,
 ,15187,15309,15057,14321,3552,6218,6174,4200,806,17933,,13515,3394,44,2.11643E-05,7.07363E-06,,
 ,14700,14936,14613,13893,3640,6336,6298,4333,842,17498,,13051,3491,45,2.04377E-05,7.2758E-06,,
 ,14299,14472,14299,13479,3677,6477,6442,4377,814,17162,,12665,3563,46,1.98332E-05,7.42586E-06,,
 ,13808,14035,13880,13029,3713,6636,6582,4489,775,16746,,12254,3714,47,1.91896E-05,7.74057E-06,,
 ,13549,13659,13484,12689,3790,6788,6701,4571,819,16520,,11870,3752,48,1.85882E-05,7.81976E-06,,
 ,13192,13303,13179,12413,3860,6933,6872,4705,806,16246,,11607,3899,49,1.81764E-05,8.12613E-06,,
 ,12819,12924,12808,12052,3963,7064,6977,4740,808,15974,,11244,3932,50,1.76079E-05,8.19491E-06,,
 ,12501,12633,12489,11713,4079,7201,7190,4885,796,15784,,10917,4089,51,1.70959E-05,8.52212E-06,,
 ,12108,12204,12198,11346,4152,7354,7329,4980,803,15457,,10543,4177,52,1.65102E-05,8.70553E-06,,
 ,11846,12028,11806,11019,4216,7570,7492,5119,773,15289,,10246,4346,53,1.60451E-05,9.05775E-06,,
